0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/null HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/ly1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/ly2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/ly3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/ly4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/ly5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/ly6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/ly7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/n1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/n2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/n3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/n4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/n6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/n7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/o1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/o2.jpg HTTP/1.1" 304 -
